from	target_from
chr17:41392233-41394017	.
chr17:41437595-41439233	.
chr17:41444712-41446840	.
chr17:41447212-41466266	LINC00910
chr17:41449833-41450333	.
chr17:41466016-41466516	.
chr17:41471122-41471741	.
chr17:41476352-41478504	ARL4D
chr17:41477360-41478202	.
chr17:41483949-41485161	.
chr17:41494807-41495587	.
chr17:41496146-41496646	.
chr17:41508988-41509989	.
chr17:41560461-41561753	.
chr17:41561232-41601686	DHX8
chr17:41639960-41640682	.
chr17:41653944-41654444	.
chr17:41661909-41662409	.
chr17:4166799-4167554	.
chr17:41669092-41670253	.
chr17:41718700-41719200	.
chr17:41797516-41798486	.
chr17:41837560-41838200	.
chr17:41843488-41856368	DUSP3
chr17:41855279-41857018	.
chr17:41878166-41910547	MPP3
chr17:41916882-41917382	.
chr17:41924515-41935602	CD300LG
chr17:41937941-41939040	.
chr17:41955904-41956663	.
chr17:42112002-42144987	LSM12
chr17:42142731-42143231	.
chr17:42143814-42144314	.
chr17:42148097-42153712	G6PC3
chr17:4216716-4217216	.
chr17:42172651-42174019	.
chr17:42185420-42186463	.
chr17:42188362-42188946	.
chr17:42189045-42189545	.
chr17:42193279-42197963	LOC105371789
chr17:4221463-4222231	.
chr17:4234837-4235658	.
chr17:42376941-42385799	RUNDC3A-AS1
chr17:42385926-42395238	RUNDC3A
chr17:42396992-42402238	SLC25A39
chr17:42422453-42430474	GRN
chr17:42431100-42441235	FAM171A2
chr17:42449548-42466969	ITGA2B
chr17:42610821-42611584	.
chr17:42613271-42614259	.
chr17:42620448-42620948	.
chr17:42633812-42635172	.
chr17:42634811-42638630	FZD2
chr17:42664585-42665169	.
chr17:42676754-42677677	.
chr17:42754804-42767165	CCDC43
chr17:42766915-42767974	.
chr17:42785975-42829636	DBF4B
chr17:42925269-42927848	HIGD1B
chr17:42927654-42976993	EFTUD2
chr17:42976560-42977575	.
chr17:42978125-42978751	.
chr17:42997175-42997796	.
chr17:43055101-43055924	.
chr17:43056613-43057373	.
chr17:43058833-43059333	.
chr17:4323840-4324340	.
chr17:43340485-43394430	MAP3K14
chr17:43360158-43360873	.
chr17:43369999-43371341	.
chr17:43410466-43410966	.
chr17:43413711-43414211	.
chr17:43415636-43416136	.
chr17:43422791-43424421	.
chr17:43448451-43449540	.
chr17:43471953-43473179	.
chr17:435532-618096	VPS53
chr17:43723642-43724142	.
chr17:4402137-4442332	SPNS2
chr17:44107281-44270272	KANSL1
chr17:44121629-44122300	.
chr17:441326-442179	.
chr17:44178310-44178810	.
chr17:4422603-4423103	.
chr17:44270938-44274089	KANSL1-AS1
chr17:45000482-45019386	GOSR2
chr17:45177353-45177992	.
chr17:45190930-45191430	.
chr17:45195062-45266678	CDC27
chr17:45212698-45213388	.
chr17:45213399-45214213	.
chr17:45214310-45214946	.
chr17:45221024-45221524	.
chr17:452296-452900	.
chr17:45235386-45235886	.
chr17:45265438-45267056	.
chr17:45282166-45283350	.
chr17:45302374-45303744	.
chr17:45307035-45307606	.
chr17:45331207-45390077	ITGB3
chr17:45352440-45353615	.
chr17:45354086-45354694	.
chr17:45356368-45357112	.
chr17:45371564-45372064	.
chr17:45380811-45401267	THCAT158
chr17:45400611-45401954	.
chr17:45401326-45518677	EFCAB13
chr17:45401977-45402567	.
chr17:45726219-45727453	.
chr17:45727203-45761004	KPNB1
chr17:45771091-45773336	.
chr17:45772629-45789429	TBKBP1
chr17:45779044-45779544	.
chr17:45780363-45780863	.
chr17:45783773-45784273	.
chr17:45786258-45786758	.
chr17:45884732-45899147	OSBPL7
chr17:45900637-45908907	MRPL10
chr17:45915046-45918699	SCRN2
chr17:45967108-45967718	.
chr17:45968595-45973182	LOC102724532
chr17:45972503-45974360	.
chr17:45973515-46006323	SP2
chr17:45975751-46018770	SP2-AS1
chr17:45982439-45983392	.
chr17:45992768-45993671	.
chr17:46018520-46019138	.
chr17:46018888-46026674	PNPO
chr17:46024183-46024683	.
chr17:46026547-46027319	.
chr17:46043262-46044060	.
chr17:46044763-46045473	.
chr17:46047871-46048572	.
chr17:46048321-46059152	CDK5RAP3
chr17:46055674-46056174	.
chr17:46095625-46096125	.
chr17:46101125-46104469	.
chr17:46103532-46115168	COPZ2
chr17:46107832-46108332	.
chr17:46124961-46126266	.
chr17:46125666-46138907	NFE2L1
chr17:46127798-46128441	.
chr17:46128922-46129720	.
chr17:46130405-46131291	.
chr17:46131381-46132080	.
chr17:46143882-46144382	.
chr17:46147413-46178560	CBX1
chr17:46151642-46152571	.
chr17:46184946-46200105	SNX11
chr17:46695862-46696362	.
chr17:46748968-46749659	.
chr17:46801808-46802308	.
chr17:46868318-46868818	.
chr17:46894247-46894995	.
chr17:46908349-46942607	CALCOCO2
chr17:46918674-46919655	.
chr17:46948898-46949868	.
chr17:46950381-46951342	.
chr17:46952221-46986345	LOC105371814
chr17:46969440-46970397	.
chr17:46970147-46973232	ATP5G1
chr17:46984900-46985980	.
chr17:46985730-47006422	UBE2Z
chr17:47007458-47022204	SNF8
chr17:47269100-47270605	.
chr17:47271040-47271736	.
chr17:47283595-47286762	GNGT2
chr17:47287588-47300587	ABI3
chr17:4736046-4736884	.
chr17:4736634-4801356	MINK1
chr17:47366567-47439476	ZNF652
chr17:4737298-4737887	.
chr17:4740364-4741768	.
chr17:47439743-47443477	LOC102724596
chr17:47472161-47472809	.
chr17:47481409-47492267	PHB
chr17:47485323-47485823	.
chr17:47491879-47492546	.
chr17:4755693-4756193	.
chr17:47572654-47592382	NGFR
chr17:47574881-47575381	.
chr17:47582974-47583740	.
chr17:47583018-47651426	LOC100288866
chr17:47591314-47591907	.
chr17:47592144-47593158	.
chr17:47593394-47594058	.
chr17:47643156-47644500	.
chr17:47653297-47661171	NXPH3
chr17:47676245-47755525	SPOP
chr17:47680374-47681508	.
chr17:47688199-47688930	.
chr17:47693339-47694673	.
chr17:47711830-47712330	.
chr17:47754543-47755853	.
chr17:47768349-47768971	.
chr17:47778295-47785313	SLC35B1
chr17:47785063-47785859	.
chr17:47786071-47786571	.
chr17:47787686-47841518	FAM117A
chr17:47800618-47801579	.
chr17:47807209-47807932	.
chr17:47808089-47808885	.
chr17:47817030-47817530	.
chr17:47818290-47819171	.
chr17:47819370-47820116	.
chr17:47840481-47840981	.
chr17:47865310-47866859	.
chr17:47865980-47906458	KAT7
chr17:47875463-47876245	.
chr17:47923271-47926199	FLJ45513
chr17:48029768-48030626	.
chr17:48127712-48133103	LOC284080
chr17:48133331-48167849	ITGA3
chr17:48157730-48158230	.
chr17:48171569-48173483	.
chr17:48172638-48188733	PDK2
chr17:48178335-48179253	.
chr17:48188672-48207246	SAMD14
chr17:48190760-48191841	.
chr17:48194499-48194999	.
chr17:48200803-48201791	.
chr17:48211098-48227878	PPP1R9B
chr17:48211705-48212306	.
chr17:48217180-48217746	.
chr17:48224593-48226747	.
chr17:48228944-48230012	.
chr17:48231168-48231962	.
chr17:48232364-48232984	.
chr17:48238161-48239252	.
chr17:48243345-48253293	SGCA
chr17:48250886-48251386	.
chr17:48252931-48253543	.
chr17:48253938-48254438	.
chr17:48254971-48256317	.
chr17:48261399-48263451	.
chr17:48261456-48279000	COL1A1
chr17:48276973-48278494	.
chr17:48282754-48283254	.
chr17:48284194-48284773	.
chr17:48286755-48287492	.
chr17:48287557-48288783	.
chr17:48289021-48289521	.
chr17:48289534-48290196	.
chr17:48292054-48292781	LINC01969
chr17:48295191-48296514	.
chr17:48297194-48297694	.
chr17:48298813-48299313	.
chr17:48299528-48300301	.
chr17:48336202-48336702	.
chr17:48336903-48337403	.
chr17:48340577-48341077	.
chr17:48341501-48342318	.
chr17:48343573-48344455	.
chr17:48344552-48345052	.
chr17:48347407-48348322	.
chr17:48348390-48348890	.
chr17:48349599-48350923	.
chr17:48351787-48358846	TMEM92
chr17:48361386-48362210	.
chr17:48367277-48367864	.
chr17:48387798-48388298	.
chr17:4840425-4843462	SLC25A11
chr17:48405652-48406307	.
chr17:48422315-48424460	.
chr17:48423392-48438546	XYLT2
chr17:48424515-48425015	.
chr17:4842844-4844096	.
chr17:48429610-48430110	.
chr17:4843302-4848518	RNF167
chr17:48445227-48450562	MRPL27
chr17:48458593-48474914	LRRC59
chr17:4848944-4852381	PFN1
chr17:48503518-48552206	ACSF2
chr17:4850592-4851565	.
chr17:4851667-4854061	.
chr17:4854383-4860426	ENO3
chr17:48556160-48563341	RSAD1
chr17:48559784-48560284	.
chr17:48578936-48579661	.
chr17:48585277-48586123	.
chr17:48585744-48608862	MYCBPAP
chr17:48586404-48586904	.
chr17:48588305-48588805	.
chr17:48588824-48589324	.
chr17:48590716-48591415	.
chr17:48592626-48593295	.
chr17:48595557-48596627	.
chr17:48610047-48621111	EPN3
chr17:48614654-48616115	LOC105371824
chr17:48624449-48633213	SPATA20
chr17:4862520-4871132	SPAG7
chr17:48681735-48683163	.
chr17:4869506-4870006	.
chr17:4870105-4871793	.
chr17:48703416-48703916	.
chr17:48712217-48769063	ABCC3
chr17:4871286-4890960	CAMTA2
chr17:48716214-48717040	.
chr17:48737528-48738439	.
chr17:48763634-48764405	.
chr17:48764494-48764994	.
chr17:48766482-48767081	.
chr17:48770550-48785270	ANKRD40
chr17:48772386-48772886	.
chr17:48784379-48786589	.
chr17:48796925-48830072	LUC7L3
chr17:48834037-48834831	.
chr17:48860436-48861097	.
chr17:48863220-48863720	.
chr17:48874439-48875299	.
chr17:48882796-48883296	.
chr17:48883598-48884098	.
chr17:48886241-48886741	.
chr17:48894554-48895054	.
chr17:4889651-4891944	.
chr17:48912604-48919709	WFIKKN2
chr17:4891424-4900905	INCA1
chr17:48939586-48943715	TOB1
chr17:48943465-48945595	.
chr17:48944039-48945732	TOB1-AS1
chr17:48981712-48982709	.
chr17:48986511-48987189	.
chr17:48993981-48994481	.
chr17:48996954-48997454	.
chr17:4900586-4902186	.
chr17:49008251-49009726	.
chr17:4901242-4931694	KIF1C
chr17:49012706-49013206	.
chr17:49026464-49026964	.
chr17:49027039-49028425	.
chr17:49031520-49032020	.
chr17:49033144-49033644	.
chr17:49034066-49034651	.
chr17:4903592-4904092	.
chr17:49039534-49198226	SPAG9
chr17:49123005-49124861	.
chr17:49189730-49190642	.
chr17:49197027-49197670	.
chr17:49197752-49199544	.
chr17:49230896-49249105	NME1-NME2
chr17:49230919-49239450	NME1
chr17:49243632-49249105	NME2
chr17:49245307-49245807	.
chr17:49254586-49255086	.
chr17:49254785-49337427	MBTD1
chr17:49265785-49266285	.
chr17:49266442-49266942	.
chr17:49266986-49267486	.
chr17:49337896-49375292	UTP18
chr17:4981753-4999669	ZFP3
chr17:5000665-5001274	.
chr17:5009028-5015569	ZNF232
chr17:5014696-5015819	.
chr17:5015229-5017677	LOC101928000
chr17:5019434-5019934	.
chr17:5025739-5026407	.
chr17:5129129-5129904	.
chr17:5152787-5153287	.
chr17:5185092-5185807	.
chr17:5185557-5289659	RABEP1
chr17:5185871-5186371	.
chr17:5288152-5323059	NUP88
chr17:52978051-53039328	TOM1L1
chr17:53038566-53046146	COX11
chr17:53046125-53241449	STXBP4
chr17:53059323-53060276	.
chr17:53070363-53070863	.
chr17:5322710-5323706	.
chr17:5322960-5336340	RPAIN
chr17:53274957-53275636	.
chr17:53276323-53276823	.
chr17:53314482-53315145	.
chr17:53315246-53316051	.
chr17:53341477-53342570	.
chr17:53342320-53402426	HLF
chr17:53342895-53343853	.
chr17:53344128-53345171	.
chr17:53353613-53354558	.
chr17:53360652-53361152	.
chr17:5336098-5342471	C1QBP
chr17:53362836-53363978	.
chr17:53371789-53372289	.
chr17:53372974-53373730	.
chr17:53379416-53379916	.
chr17:5342221-5342798	.
chr17:53434035-53434535	.
chr17:5344231-5372380	DHX33
chr17:53469973-53499341	MMD
chr17:53498001-53498501	.
chr17:53604840-53605340	.
chr17:53624565-53625065	.
chr17:53641361-53641964	.
chr17:53653375-53655465	.
chr17:53684851-53685462	.
chr17:53686816-53687840	.
chr17:53718889-53719589	.
chr17:5372411-5373680	LOC105371506
chr17:5374570-5389550	DERL2
chr17:53795444-53795944	.
chr17:53796987-53800225	TMEM100
chr17:53803725-53804316	.
chr17:53828041-53829231	.
chr17:53828339-53854748	PCTP
chr17:5389693-5394130	MIS12
chr17:5402746-5404319	LOC728392
chr17:5404019-5405125	.
chr17:5414621-5415121	.
chr17:5417437-5487832	NLRP1
chr17:5430081-5430581	.
chr17:54793169-54793669	.
chr17:54869273-54911256	C17orf67
chr17:54878739-54879369	.
chr17:54910360-54912502	.
chr17:54911459-54946036	DGKE
chr17:54965269-54991409	TRIM25
chr17:54989583-54990083	.
chr17:55015560-55038411	COIL
chr17:55055467-55084129	SCPEP1
chr17:55087258-55087758	.
chr17:55109665-55110165	.
chr17:55110436-55111184	.
chr17:55131498-55131998	.
chr17:55161744-55163946	.
chr17:55162552-55198705	AKAP1
chr17:55169485-55170064	.
chr17:55170071-55170571	.
chr17:55174883-55175923	.
chr17:55187420-55188066	.
chr17:55208063-55208760	.
chr17:55210053-55210802	.
chr17:55263431-55264444	.
chr17:55332391-55334654	.
chr17:55333930-55762050	MSI2
chr17:55335594-55336094	.
chr17:55338396-55338896	.
chr17:55350089-55351262	.
chr17:55360344-55360844	.
chr17:55361839-55364314	.
chr17:55365376-55366197	.
chr17:55406819-55407755	.
chr17:55434026-55435233	.
chr17:55455965-55457402	.
chr17:55473005-55474200	.
chr17:55483349-55484598	.
chr17:55485012-55485512	.
chr17:55485697-55486197	.
chr17:55492879-55493504	.
chr17:55517718-55518779	.
chr17:55520421-55520921	.
chr17:55531949-55533509	.
chr17:55550556-55551539	.
chr17:55555712-55556380	.
chr17:55557742-55558242	.
chr17:55559213-55559777	.
chr17:55563272-55564037	.
chr17:55567496-55568423	.
chr17:55574496-55575092	.
chr17:55577543-55578211	.
chr17:55583687-55584276	.
chr17:55584289-55585266	.
chr17:55599608-55600958	LOC101927557
chr17:55603643-55604551	.
chr17:55605227-55606310	.
chr17:55612349-55613391	.
chr17:55630879-55631854	.
chr17:5563341-5564100	.
chr17:55651341-55651841	.
chr17:55654796-55655571	.
chr17:55655851-55656645	.
chr17:55662926-55663533	.
chr17:55675116-55675616	.
chr17:55677257-55677757	.
chr17:55678225-55685773	LOC101927539
chr17:55681321-55683290	.
chr17:55740007-55740728	.
chr17:55740927-55741427	.
chr17:55742445-55742945	.
chr17:55809391-55809891	.
chr17:55828297-55829087	.
chr17:55860559-55861059	.
chr17:55887813-55888998	.
chr17:55910058-55911110	.
chr17:55916286-55927433	MRPS23
chr17:55927183-55928241	.
chr17:55928486-55929428	.
chr17:55938156-55939249	.
chr17:55938603-56032684	CUEDC1
chr17:55951880-55953224	.
chr17:55958381-55958881	.
chr17:55958985-55959485	.
chr17:56004628-56005128	.
chr17:56012402-56013909	.
chr17:56023582-56024838	.
chr17:56025830-56026440	.
chr17:56048909-56065615	VEZF1
chr17:56064053-56066785	.
chr17:56072727-56073227	.
chr17:56078279-56084707	SRSF1
chr17:56083768-56085611	.
chr17:56091235-56092088	.
chr17:5610080-5610580	.
chr17:56137786-56138389	.
chr17:56154251-56160565	LOC101927666
chr17:56160315-56162402	.
chr17:56160779-56167618	DYNLL2
chr17:56282796-56296666	MKS1
chr17:56326685-56327453	.
chr17:56378587-56406152	TSPOAP1
chr17:56414562-56431088	TSPOAP1-AS1
chr17:56415166-56415881	.
chr17:56422535-56429599	SUPT4H1
chr17:56429139-56430031	.
chr17:56430188-56430688	.
chr17:56566892-56595251	MTMR4
chr17:56591725-56592225	.
chr17:56594804-56596821	.
chr17:56597197-56634286	SEPT4-AS1
chr17:56597610-56606828	SEPT4
chr17:56602500-56603000	.
chr17:56654930-56655430	.
chr17:56708423-56709720	.
chr17:56736000-56737147	.
chr17:56743669-56744793	.
chr17:56769683-56770450	.
chr17:56769933-56772741	RAD51C
chr17:57075560-57184282	TRIM37
chr17:57078752-57079252	.
chr17:57082068-57082682	.
chr17:57170776-57171501	.
chr17:57187307-57232800	SKA2
chr17:57232859-57284070	PRR11
chr17:57287370-57292611	SMG8
chr17:57297827-57353330	GDPD1
chr17:57406858-57407731	.
chr17:57407959-57408459	.
chr17:57409052-57479095	YPEL2
chr17:57409913-57410413	.
chr17:57442907-57443822	.
chr17:57444418-57444918	.
chr17:57448746-57449320	.
chr17:57449344-57450109	.
chr17:57451115-57451706	.
chr17:57458957-57459711	.
chr17:57464614-57465236	.
chr17:57477849-57478527	.
chr17:57484303-57484940	.
chr17:57500409-57501250	.
chr17:57502514-57503357	.
chr17:57504614-57505736	.
chr17:57517918-57519482	.
chr17:57591393-57592313	.
chr17:57598785-57599542	.
chr17:57695474-57695974	.
chr17:57696185-57698022	.
chr17:57697049-57774317	CLTC
chr17:57698273-57698773	.
chr17:57720423-57721306	.
chr17:57745914-57746708	.
chr17:57774666-57784959	PTRH2
chr17:57784575-57785559	.
chr17:57784825-57919616	VMP1
chr17:57802440-57803478	.
chr17:57824151-57824651	.
chr17:57860066-57860566	.
chr17:57860577-57861077	.
chr17:57861111-57861611	.
chr17:57861945-57862445	.
chr17:57863547-57864242	.
chr17:57906609-57907109	.
chr17:57908678-57909704	.
chr17:57914393-57915542	.
chr17:57915572-57917074	.
chr17:57919906-57920406	.
chr17:57921263-57921763	.
chr17:57922498-57924611	.
chr17:57926009-57926509	.
chr17:57928892-57929813	.
chr17:57930655-57931238	.
chr17:58120551-58156292	HEATR6
chr17:58156669-58166053	LOC105371849
chr17:58254690-58469586	USP32
chr17:58468089-58468866	.
chr17:58468989-58470852	.
chr17:58512927-58513670	.
chr17:58520509-58603601	APPBP2
chr17:58540488-58541272	.
chr17:58547056-58547556	.
chr17:58602078-58604531	.
chr17:58648043-58648971	.
chr17:58650706-58651615	.
chr17:58654329-58655346	.
chr17:58656124-58656927	.
chr17:58667333-58667931	.
chr17:58676450-58677909	.
chr17:58677543-58743640	PPM1D
chr17:58679207-58679707	.
chr17:58707352-58708121	.
chr17:58715914-58716534	.
chr17:58719083-58719755	.
chr17:58788422-58788922	.
chr17:59018187-59018888	.
chr17:59142663-59143163	.
chr17:59234571-59235315	.
chr17:59279854-59280354	.
chr17:59281172-59281672	.
chr17:59368817-59369317	.
chr17:59415406-59416385	.
chr17:59470816-59476967	TBX2-AS1
chr17:59477256-59486827	TBX2
chr17:5973933-6027747	WSCD1
chr17:59940431-59941530	.
chr17:59942727-60005377	INTS2
chr17:60004057-60005655	.
chr17:60019965-60142643	MED13
chr17:60141910-60143601	.
chr17:60501245-60527454	METTL2A
chr17:60556385-60692841	TLK2
chr17:60675224-60675807	.
chr17:60678737-60679237	.
chr17:60691375-60691943	.
chr17:60703910-60706887	.
chr17:60704761-60770962	MRC2
chr17:60725584-60726084	.
chr17:60726111-60726829	.
chr17:60729669-60732062	.
chr17:60735183-60735683	.
chr17:60749587-60750087	.
chr17:60757818-60758479	.
chr17:60770406-60770906	.
chr17:60771627-60772611	.
chr17:60774252-60774895	.
chr17:60780659-60782299	.
chr17:60782579-60783547	.
chr17:60801091-60801591	.
chr17:60868436-60868936	.
chr17:60897147-60897647	.
chr17:60936339-60936980	.
chr17:60975552-60976052	.
chr17:61086897-61505067	TANC2
chr17:61426824-61427413	.
chr17:61431556-61432056	.
chr17:61433490-61433990	.
chr17:61472366-61472866	.
chr17:61477103-61477603	.
chr17:61479654-61480835	.
chr17:61482953-61483453	.
chr17:61484035-61484535	.
chr17:61497713-61498343	.
chr17:61502584-61503377	.
chr17:61509664-61523722	CYB561
chr17:61511049-61511800	.
chr17:61512581-61513081	.
chr17:61514573-61515073	.
chr17:61522593-61523093	.
chr17:61523236-61525315	.
chr17:61627383-61628331	.
chr17:61627795-61671642	DCAF7
chr17:61678230-61685725	TACO1
chr17:61699165-61700344	.
chr17:61699800-61773670	MAP3K3
chr17:61711348-61711848	.
chr17:61719071-61719571	.
chr17:61742878-61743532	.
chr17:61752731-61753753	.
chr17:61773248-61777519	LIMD2
chr17:61777697-61780045	LOC729683
chr17:61780191-61819330	STRADA
chr17:61818001-61820192	.
chr17:61822609-61851088	CCDC47
chr17:61850428-61852234	.
chr17:61851548-61896677	DDX42
chr17:61896792-61905031	FTSJ3
chr17:61904769-61909387	PSMC5
chr17:61909440-61920351	SMARCD2
chr17:61912157-61912657	.
chr17:61915849-61916349	.
chr17:61917801-61918567	.
chr17:61918912-61919664	.
chr17:61919915-61920789	.
chr17:61926048-61927327	.
chr17:62079954-62097994	ICAM2
chr17:62102608-62103520	.
chr17:62106180-62106680	.
chr17:62117501-62118001	.
chr17:62119340-62120889	.
chr17:62120389-62207502	ERN1
chr17:62129351-62129851	.
chr17:62151598-62152098	.
chr17:62162635-62163135	.
chr17:62174490-62174990	.
chr17:62179-202633	RPH3AL
chr17:62185125-62185742	.
chr17:62195729-62196428	.
chr17:62222500-62224362	.
chr17:62223329-62223669	SNHG25
chr17:62224737-62225237	.
chr17:62224792-62340683	TEX2
chr17:62225265-62225765	.
chr17:62229745-62230245	.
chr17:62233507-62234007	.
chr17:62252018-62252589	.
chr17:62253888-62254388	.
chr17:62293203-62294327	.
chr17:62307911-62308491	.
chr17:62318066-62318904	.
chr17:62321447-62322042	.
chr17:62355110-62355610	.
chr17:62355748-62356248	.
chr17:62359144-62359750	.
chr17:62384176-62384676	.
chr17:62392297-62393353	.
chr17:62397826-62398841	.
chr17:62461318-62461818	.
chr17:62473901-62493184	POLG2
chr17:62494371-62502639	DDX5
chr17:62500929-62503316	.
chr17:62502853-62534069	CEP95
chr17:62503457-62503957	.
chr17:62533633-62534133	.
chr17:62540734-62658386	SMURF2
chr17:62570707-62571513	.
chr17:62574937-62575557	.
chr17:62576801-62577301	.
chr17:62645167-62645667	.
chr17:62657488-62659038	.
chr17:62780958-62833302	PLEKHM1P1
chr17:62850429-62915598	LRRC37A3
chr17:62962667-62971703	AMZ2P1
chr17:62971204-62972530	.
chr17:62981870-62982370	.
chr17:63001856-63002581	.
chr17:63005406-63052920	GNA13
chr17:63009910-63010410	.
chr17:63013321-63015235	.
chr17:63037053-63037650	.
chr17:63051564-63052132	.
chr17:63052176-63053332	.
chr17:63053706-63054281	.
chr17:63063123-63063623	.
chr17:63068853-63069353	.
chr17:63070877-63071626	.
chr17:63081419-63081919	.
chr17:63096929-63107212	LOC100507002
chr17:63102122-63103388	.
chr17:63118827-63119822	.
chr17:63133455-63223821	RGS9
chr17:63175305-63175805	.
chr17:6325153-6325765	.
chr17:63320800-63321611	.
chr17:6339246-6339746	.
chr17:63451967-63452894	.
chr17:63459257-63459852	.
chr17:63468631-63469472	.
chr17:6346913-6348158	.
chr17:6347734-6354385	PIMREG
chr17:63524682-63557740	AXIN2
chr17:63527008-63528678	.
chr17:63543324-63543979	.
chr17:6354582-6459877	PITPNM3
chr17:63552438-63552938	.
chr17:63556224-63558423	.
chr17:635785-646208	FAM57A
chr17:63590310-63591044	.
chr17:63631657-63822661	CEP112
chr17:63674693-63675817	.
chr17:63692658-63693267	.
chr17:63694166-63695179	.
chr17:63781108-63781751	.
chr17:63844490-63844990	.
chr17:63914160-63915457	.
chr17:6408753-6409735	.
chr17:64139222-64140149	.
chr17:64186840-64188745	.
chr17:64298925-64806862	PRKCA
chr17:64343761-64344570	.
chr17:64344648-64345364	.
chr17:64377894-64378522	.
chr17:64379380-64379880	.
chr17:64400279-64400779	.
chr17:64427934-64428636	.
chr17:64429310-64429810	.
chr17:64433278-64433889	.
chr17:64503621-64504121	.
chr17:64504210-64504710	.
chr17:64517718-64518218	.
chr17:6451862-6452362	.
chr17:64519118-64519618	.
chr17:64529282-64530271	.
chr17:64535986-64536981	.
chr17:64537468-64538382	.
chr17:64574236-64574736	.
chr17:64576159-64577695	.
chr17:6458489-6459299	.
chr17:6462146-6462889	.
chr17:64623980-64624480	.
chr17:6463102-6463602	.
chr17:6466280-6466780	.
chr17:64669849-64670579	.
chr17:64678315-64678815	.
chr17:64733421-64734167	.
chr17:64742800-64743300	.
chr17:647660-655501	GEMIN4
chr17:6478282-6478964	.
chr17:6481644-6544247	KIAA0753
chr17:64900779-64901828	.
chr17:64902588-64903195	.
chr17:6506534-6507702	.
chr17:65066553-65241319	HELZ
chr17:65091332-65091832	.
chr17:65117451-65117951	.
chr17:65240891-65258196	LOC101928021
chr17:6527494-6528341	.
chr17:65285243-65286097	.
chr17:65286724-65287628	.
chr17:65334031-65362743	PSMD12
chr17:65373396-65693379	PITPNC1
chr17:65411379-65412186	.
chr17:65417785-65418506	.
chr17:65427303-65428088	.
chr17:6543424-6545128	.
chr17:6544221-6547861	TXNDC17
chr17:654499-656359	.
chr17:6546632-6554954	MED31
chr17:65470102-65470602	.
chr17:65471443-65471943	.
chr17:65491987-65492808	.
chr17:65524514-65525621	.
chr17:65528409-65528909	.
chr17:65578664-65579429	.
chr17:6558060-6558560	.
chr17:65598122-65598622	.
chr17:65601148-65601842	.
chr17:65602608-65603108	.
chr17:6569248-6569748	.
chr17:65713247-65714620	.
chr17:65713948-65740324	NOL11
chr17:65775182-65775791	.
chr17:65821779-65980494	BPTF
chr17:65956115-65956615	.
chr17:65959303-65959803	.
chr17:65974607-65975107	.
chr17:65987214-65989765	C17orf58
chr17:65990855-65991668	.
chr17:65991789-65992289	.
chr17:66015663-66016880	.
chr17:66031717-66042975	KPNA2
chr17:66050428-66051037	.
chr17:66066657-66067239	.
chr17:66070290-66070790	.
chr17:6613552-6614052	.
chr17:6614309-6615326	.
chr17:6615449-6615949	.
chr17:66168498-66168998	.
chr17:66196835-66197335	.
chr17:66201352-66202522	.
chr17:66243354-66244808	.
chr17:66244144-66253305	AMZ2
chr17:66245518-66246018	.
chr17:662548-685571	GLOD4
chr17:66255322-66417000	ARSG
chr17:66298217-66298997	.
chr17:66301247-66301747	.
chr17:66308562-66309062	.
chr17:66348149-66348649	.
chr17:663616-664116	.
chr17:66373923-66375488	.
chr17:66379546-66380046	.
chr17:66382298-66383033	.
chr17:66387453-66388078	.
chr17:66395110-66395610	.
chr17:66395769-66396574	.
chr17:66417421-66453665	WIPI1
chr17:66434173-66434673	.
chr17:66470414-66470914	.
chr17:66478442-66478942	.
chr17:66480618-66481891	.
chr17:66487381-66488633	.
chr17:66489245-66489937	.
chr17:66494066-66495580	.
chr17:66507340-66509907	.
chr17:66508519-66529570	PRKAR1A
chr17:66531256-66597095	FAM20A
chr17:66535569-66536069	.
chr17:6655358-6656191	.
chr17:6656220-6656999	.
chr17:6658480-6659587	.
chr17:66587616-66588116	.
chr17:66588816-66589601	.
chr17:6659155-6678964	XAF1
chr17:66591591-66592411	.
chr17:66595809-66596721	.
chr17:66597743-66598435	.
chr17:66599092-66599732	.
chr17:66623914-66624616	.
chr17:66624294-66675747	LINC01482
chr17:66680782-66681666	.
chr17:66693744-66694244	.
chr17:66694698-66695198	.
chr17:66696493-66697126	.
chr17:66729226-66729726	.
chr17:66729855-66730808	.
chr17:66734059-66734669	.
chr17:66767462-66768709	.
chr17:66770749-66771249	.
chr17:66771431-66772034	.
chr17:66773191-66774365	.
chr17:66779851-66780351	.
chr17:66787110-66787610	.
chr17:66788138-66788974	.
chr17:66789319-66790499	.
chr17:66790619-66791241	.
chr17:66797275-66797911	.
chr17:66799020-66799716	.
chr17:66803472-66803972	.
chr17:66804128-66805004	.
chr17:66828244-66829094	.
chr17:66839682-66840182	.
chr17:66846236-66847830	.
chr17:66863427-66951533	ABCA8
chr17:66864789-66865289	.
chr17:66904950-66905741	.
chr17:66906450-66907028	.
chr17:66970772-67057136	ABCA9
chr17:66977366-66977866	.
chr17:67043439-67044135	.
chr17:67047009-67047612	.
chr17:67058998-67059938	.
chr17:67074846-67138015	ABCA6
chr17:67144147-67240956	ABCA10
chr17:67189087-67189587	.
chr17:67235934-67236434	.
chr17:67240575-67311774	ABCA5
chr17:67322110-67324338	.
chr17:67443828-67444328	.
chr17:67444437-67445171	.
